Epoch,Train Loss,Train MSE Dev,Train MSE Hk,Train PCC Dev,Train PCC Hk,Train SCC Dev,Train SCC Hk,Val Loss,Val MSE Dev,Val MSE Hk,Val PCC Dev,Val PCC Hk,Val SCC Dev,Val SCC Hk
1,3.4483059102321483,1.729003109599692,1.7193027965172134,0.5005340336975314,0.5929118740724993,0.4853113477277924,0.44489951689852036,3.658505588675899,2.017783995682509,1.6407215854722994,0.5767280924331972,0.6520722902075717,0.559870722640187,0.5177033061880277
2,2.9112164866495696,1.4780074203238152,1.433209069530713,0.6042290874936858,0.6845039750938865,0.5765399764735343,0.5158782330164602,3.0851748568778534,1.6000042785229367,1.4851705747823987,0.5989382530879482,0.7008216249324635,0.5854481707146362,0.5574648285960546
3,2.7453786808709375,1.3909129811592478,1.3544657002995812,0.6346277782681032,0.7043544316025226,0.6016648997522637,0.5337063329804842,2.7853609455120676,1.4009231206746509,1.3844378261536077,0.628167857153629,0.7102592549304231,0.5966365961914517,0.5466708688944376
4,2.6316148094640885,1.331801113508099,1.2998136955956687,0.6544331498341598,0.718465049137203,0.6179540701912283,0.5479136374354204,3.0200382986279317,1.5652103145791905,1.4548279806642501,0.642929177689427,0.7234741987262142,0.6158703979001527,0.5709663931497814
5,2.5342503590755237,1.2853520785286818,1.2488982801296284,0.6693432267210072,0.7303394900993434,0.6295626723254303,0.5580233083831843,2.6459032676949485,1.339176933660116,1.3067263345989144,0.6514840570884017,0.7320676874852217,0.6162132566768441,0.5816514111204691
6,2.467426229008739,1.25117068781126,1.2162555430939044,0.6803785919235315,0.7396714948786043,0.6388412726830359,0.5669361066765869,2.6208322311425434,1.3006898792760229,1.3201423526186296,0.6598234174563327,0.730198731530429,0.6257733803811152,0.5751416752073766
7,2.404692851545095,1.2198208497467975,1.184872000906978,0.6902593845468543,0.74628235786717,0.6461357252140191,0.5742338656587194,2.6753017248039366,1.3121256356359656,1.3631760872876983,0.658147480909604,0.7273609345235255,0.6246949561918279,0.5780701389036931
8,2.3506313495259734,1.1928766455348419,1.1577547041428458,0.6986902226764271,0.7534940450411458,0.6531133386524728,0.5797620240277476,2.65350531516391,1.3363588091326812,1.3171465082875562,0.6584550377012807,0.72962723444471,0.6273000019079279,0.5771763407775979
9,2.30561376808936,1.1699486938472619,1.1356650727818507,0.7057550100404124,0.7586472256375072,0.6587679998471465,0.5856002597372713,2.6956291428123738,1.301196166017454,1.3944329762308378,0.6624665855204596,0.7211824262018713,0.6291089062532303,0.5790718729857819
10,2.261052736460764,1.1482770527163926,1.1127756814496972,0.7125259561653958,0.764268656086867,0.6640491893869612,0.5912306649173567,2.6103270053863525,1.3109400400227929,1.2993869617910416,0.6671770891484144,0.7322197676950831,0.6293172945597116,0.5823305401981049
11,2.225685134648594,1.127828851555549,1.0978562805707994,0.7184735409549846,0.7679026306181884,0.6696877720698933,0.5950274973148902,2.6104607867893734,1.2903533369208735,1.3201074513727182,0.6628375522831474,0.7297817029817787,0.6274718872440479,0.5766778116115142
12,2.191349365132423,1.110976878772903,1.080372484102774,0.723787251940426,0.7720894914801312,0.6740086580846293,0.5995252567242415,2.6354087587410717,1.342415714677576,1.2929930519606412,0.6573354777362272,0.733158066277712,0.6238626942030929,0.5810687457733403
13,2.1590064269814415,1.0944380807793144,1.0645683473020535,0.7287215445728085,0.7758768036616468,0.678356732345286,0.6043940451254312,2.748261971804622,1.4104753112191282,1.3377866637819573,0.6590545797208751,0.7278233977092415,0.6243380860023395,0.5769140221343738
14,2.1362870966140304,1.082715571723165,1.0535715271286474,0.7324013991278846,0.7790028866121134,0.6816661051742686,0.607869542726048,2.625176612511042,1.296208335774178,1.328968275984755,0.662501336930848,0.7258535859431726,0.6255907437071212,0.5727907566542724
15,2.103960030669814,1.0670290592556504,1.0369309694987743,0.7370615110674273,0.7823653182199964,0.6852992712180466,0.6129813674109469,2.695224064005662,1.3432157714660236,1.3520082897192296,0.6560985895468101,0.7258410769021972,0.6198256875781682,0.5728623537127474
16,2.083311574268675,1.0537439788977052,1.0295675933228303,0.7408325336527991,0.7841281329023664,0.6885437200085085,0.6149919546516213,2.639008648388017,1.311713612794124,1.3272950307051843,0.6570083218778808,0.728647323644434,0.6205275402108623,0.5735603726925343
17,2.056893071967479,1.0417969355035503,1.0150961352502166,0.7442892910442357,0.7875551071876825,0.6922998742996048,0.6194031884498978,2.62483093828809,1.30101645500502,1.3238144821549063,0.6592770670153354,0.7294073238655061,0.6220600371091296,0.5733626068384368
18,2.034898288152114,1.0301134512184003,1.0047848360234295,0.7477133695858494,0.7902374522680174,0.6951535916037076,0.623952292447962,2.640004368234508,1.3162659346493262,1.3237384256880367,0.6559002659358719,0.7266627328728021,0.6209080413424986,0.5708150932106779
19,2.018714964143266,1.0217098362916903,0.9970051276050401,0.7503580134184393,0.7923136313906436,0.6974127945036935,0.6263577982579928,2.6677315509657755,1.3139297247685093,1.353801831650057,0.6545585947872867,0.7251850439187373,0.6165821670197196,0.5648585562245175
20,2.0003507405832397,1.0113821382208534,0.9889686031683668,0.7533461744776625,0.7944465617637182,0.7003164878412688,0.6289683968191877,2.763652934260925,1.4295178589760693,1.3341350781052645,0.654490642714779,0.7267253418067037,0.6184667834192794,0.5716180564979226

